id,prediction,location.lat,location.lon,availability.slots
166,7,19.406069,-99.183549,13
167,8,19.404651,-99.179375,18
168,19,19.403997,-99.1776,11
169,23,19.403019,-99.174934,18
170,18,19.404029,-99.184342,9
171,20,19.402584,-99.178199,24
172,19,19.4034921,-99.1816002,9
173,11,19.401682,-99.176398,21
174,14,19.44111,-99.16164,24
175,25,19.400767,-99.172533,20
176,19,19.442689,-99.152286,3
177,12,19.408841,-99.181692,15
178,10,19.406833,-99.180457,16
179,20,19.404452,-99.171438,27
180,24,19.404554,-99.169953,30
181,6,19.40472,-99.17448,19
182,18,19.402089,-99.17139,32
183,16,19.43767,-99.16402,34
184,36,19.41479,-99.18508,23
185,5,19.4128,-99.1828,15
186,23,19.4124291,-99.1885117,16
187,16,19.41123,-99.18551,21
188,16,19.41171,-99.19014,8
189,5,19.41004,-99.18798,15
190,22,19.409569,-99.183833,17
191,22,19.4079,-99.18795,18
192,1,19.42592,-99.190755,0
194,21,19.424282,-99.180334,2
195,18,19.424926,-99.185147,9
196,10,19.438349,-99.192904,21
197,38,19.440077,-99.204316,6
198,9,19.438168,-99.203888,17
199,4,19.437934,-99.197241,12
200,9,19.437596,-99.188785,22
201,30,19.437431,-99.187215,16
202,9,19.4362368,-99.1988982,7
203,2,19.435985,-99.194832,15
204,31,19.435882,-99.19152,23
205,7,19.435525,-99.184713,20
206,23,19.435798,-99.201419,16
207,36,19.434861,-99.183322,14
208,25,19.434182,-99.189835,25
209,1,19.435478,-99.206359,8
210,19,19.434076,-99.194091,22
211,23,19.433607,-99.188528,33
212,13,19.433567,-99.188096,35
213,0,19.43432,-99.20632,21
214,17,19.434353,-99.20322,18
215,3,19.43384,-99.19968,23
216,24,19.433419,-99.195746,18
217,33,19.432888,-99.183605,25
218,12,19.432451,-99.188033,21
219,3,19.433542,-99.207808,32
220,8,19.432655,-99.205727,18
221,7,19.431799,-99.201565,23
222,19,19.431417,-99.195774,13
223,8,19.431242,-99.191613,23
224,6,19.431255,-99.188065,13
225,13,19.431172,-99.185612,11
226,27,19.431033,-99.18222,26
227,20,19.431791,-99.207373,14
228,3,19.427705,-99.19912,19
229,25,19.430515,-99.203331,18
230,24,19.430098,-99.200074,8
231,4,19.42977,-99.19349,19
232,20,19.42894,-99.185389,30
233,22,19.429314,-99.196965,11
234,7,19.42783,-99.191539,18
235,11,19.42933,-99.20218,23
236,1,19.42944,-99.20243,29
237,15,19.426744,-99.193986,22
238,12,19.426765,-99.193752,22
239,14,19.430153,-99.181355,18
240,8,19.43855,-99.2063,28
241,10,19.43862,-99.20758,22
242,9,19.440344,-99.20105,2
243,10,19.440839,-99.196712,25
244,18,19.440885,-99.193315,18
245,18,19.43819,-99.19048,18
246,13,19.434147,-99.179835,13
247,6,19.432276,-99.18064,24
248,22,19.43175,-99.177399,20
249,4,19.429877,-99.177569,14
250,23,19.429057,-99.17966,20
251,13,19.429261,-99.17538,8
252,23,19.427575,-99.17702,10
253,2,19.425835,-99.177924,9
254,11,19.43935,-99.16007,24
255,14,19.437159,-99.161808,33
