id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,3,11,0.7857142857142857,0.2142857142857143
124,06500,19.422392,-99.150358,OPN,3,31,0.9117647058823529,0.08823529411764708
159,06760,19.407517,-99.155373,OPN,4,31,0.8857142857142857,0.11428571428571432
241,11520,19.43862,-99.20758,OPN,3,21,0.875,0.125
243,11510,19.440839,-99.196712,OPN,3,24,0.8888888888888888,0.11111111111111116
350,3710,19.384062,-99.181482,OPN,3,27,0.9,0.09999999999999998
445,3340,19.35827,-99.156105,OPN,7,17,0.7083333333333334,0.29166666666666663
463,11529,19.442338,-99.202492,OPN,3,23,0.8846153846153846,0.11538461538461542
469,11300,19.434183,-99.173089,OPN,2,21,0.9130434782608695,0.08695652173913049
470,11300,19.435039,-99.173879,OPN,13,11,0.4583333333333333,0.5416666666666667
471,11300,19.436287,-99.174888,OPN,2,21,0.9130434782608695,0.08695652173913049
472,11300,19.437667,-99.17711,OPN,4,20,0.8333333333333334,0.16666666666666663
473,11300,19.438143,-99.17519,OPN,5,29,0.8529411764705882,0.1470588235294118
452,11590,19.435031,-99.179838,OPN,0,18,1.0,0.0
246,11510,19.434147,-99.179835,OPN,0,14,1.0,0.0
247,11510,19.432276,-99.18064,OPN,8,16,0.6666666666666666,0.33333333333333337
248,11510,19.43175,-99.177399,OPN,3,21,0.875,0.125
249,11510,19.429877,-99.177569,OPN,7,11,0.6111111111111112,0.38888888888888884
250,11510,19.429057,-99.17966,OPN,22,4,0.15384615384615385,0.8461538461538461
251,11510,19.429261,-99.17538,OPN,4,14,0.7777777777777778,0.2222222222222222
252,11510,19.427575,-99.17702,OPN,12,6,0.3333333333333333,0.6666666666666667
253,11510,19.425835,-99.177924,OPN,7,14,0.6666666666666666,0.33333333333333337
433,3104,19.363558,-99.170819,OPN,11,10,0.47619047619047616,0.5238095238095238
434,3104,19.363741,-99.171268,OPN,14,8,0.36363636363636365,0.6363636363636364
423,3240,19.367631,-99.175342,OPN,3,20,0.8695652173913043,0.13043478260869568
436,3240,19.366217,-99.177819,OPN,7,21,0.75,0.25
437,3240,19.36480833,-99.17602222,OPN,3,18,0.8571428571428571,0.1428571428571429
438,3240,19.36479722,-99.17458333,OPN,3,19,0.8636363636363636,0.13636363636363635
439,3240,19.36218889,-99.17246667,OPN,9,9,0.5,0.5
420,3230,19.369723,-99.17964,OPN,4,22,0.8461538461538461,0.15384615384615385
421,3230,19.369467,-99.179401,OPN,7,23,0.7666666666666667,0.23333333333333328
422,3230,19.368356,-99.177487,OPN,1,20,0.9523809523809523,0.04761904761904767
416,3104,19.371308,-99.177607,OPN,2,26,0.9285714285714286,0.0714285714285714
479,11310,19.444433,-99.179664,OPN,4,20,0.8333333333333334,0.16666666666666663
480,11310,19.446073,-99.181654,OPN,16,4,0.2,0.8
464,11529,19.442421,-99.199838,OPN,2,13,0.8666666666666667,0.1333333333333333
333,3810,19.387624,-99.180978,OPN,1,19,0.95,0.050000000000000044
349,3840,19.385688,-99.180857,OPN,2,19,0.9047619047619048,0.09523809523809523
326,3840,19.388978,-99.174811,OPN,0,29,1.0,0.0
466,11310,19.44269,-99.19083,OPN,17,9,0.34615384615384615,0.6538461538461539
474,11320,19.438984,-99.177549,OPN,3,29,0.90625,0.09375
475,11320,19.439249,-99.181065,OPN,6,18,0.75,0.25
477,11320,19.440905,-99.181743,OPN,7,16,0.6956521739130435,0.30434782608695654
478,11320,19.440818,-99.176961,OPN,3,24,0.8888888888888888,0.11111111111111116
468,11320,19.4366022,-99.1796833,OPN,9,24,0.7272727272727273,0.2727272727272727
264,06350,19.440985,-99.152935,OPN,5,30,0.8571428571428571,0.1428571428571429
265,06350,19.440839,-99.152265,OPN,8,28,0.7777777777777778,0.2222222222222222
266,06350,19.444031,-99.152187,OPN,5,31,0.8611111111111112,0.13888888888888884
267,06350,19.443735,-99.152203,OPN,3,32,0.9142857142857143,0.08571428571428574
268,06350,19.442467,-99.151658,OPN,1,32,0.9696969696969697,0.030303030303030276
269,06350,19.442448,-99.151586,OPN,0,0,,
271,06350,19.443928,-99.152525,OPN,25,11,0.3055555555555556,0.6944444444444444
272,06350,19.443556,-99.152556,OPN,9,26,0.7428571428571429,0.2571428571428571
273,06350,19.442707,-99.152956,OPN,3,20,0.8695652173913043,0.13043478260869568
274,06350,19.442772,-99.153289,OPN,13,23,0.6388888888888888,0.36111111111111116
275,06350,19.441062,-99.153164,OPN,3,31,0.9117647058823529,0.08823529411764708
176,06350,19.442689,-99.152286,OPN,2,30,0.9375,0.0625
347,3710,19.384378,-99.176097,OPN,4,23,0.8518518518518519,0.14814814814814814
353,3710,19.382168,-99.178808,OPN,7,20,0.7407407407407407,0.2592592592592593
362,3710,19.382207,-99.181043,OPN,6,15,0.7142857142857143,0.2857142857142857
363,3710,19.380813,-99.183851,OPN,7,14,0.6666666666666666,0.33333333333333337
260,06000,19.435354,-99.147742,OPN,0,23,1.0,0.0
