id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,7,4,0.36363636363636365,0.6363636363636364
124,06500,19.422392,-99.150358,OPN,9,25,0.7352941176470589,0.2647058823529411
159,06760,19.407517,-99.155373,OPN,2,34,0.9444444444444444,0.05555555555555558
241,11520,19.43862,-99.20758,OPN,4,20,0.8333333333333334,0.16666666666666663
243,11510,19.440839,-99.196712,OPN,11,16,0.5925925925925926,0.40740740740740744
350,3710,19.384062,-99.181482,OPN,0,30,1.0,0.0
445,3340,19.35827,-99.156105,OPN,18,6,0.25,0.75
463,11529,19.442338,-99.202492,OPN,5,21,0.8076923076923077,0.1923076923076923
469,11300,19.434183,-99.173089,OPN,1,23,0.9583333333333334,0.04166666666666663
470,11300,19.435039,-99.173879,OPN,2,22,0.9166666666666666,0.08333333333333337
471,11300,19.436287,-99.174888,OPN,4,19,0.8260869565217391,0.17391304347826086
472,11300,19.437667,-99.17711,OPN,0,24,1.0,0.0
473,11300,19.438143,-99.17519,OPN,5,30,0.8571428571428571,0.1428571428571429
452,11590,19.435031,-99.179838,OPN,3,15,0.8333333333333334,0.16666666666666663
246,11510,19.434147,-99.179835,OPN,7,8,0.5333333333333333,0.4666666666666667
247,11510,19.432276,-99.18064,OPN,3,21,0.875,0.125
248,11510,19.43175,-99.177399,OPN,10,14,0.5833333333333334,0.41666666666666663
249,11510,19.429877,-99.177569,OPN,3,15,0.8333333333333334,0.16666666666666663
250,11510,19.429057,-99.17966,OPN,12,15,0.5555555555555556,0.4444444444444444
251,11510,19.429261,-99.17538,OPN,2,16,0.8888888888888888,0.11111111111111116
252,11510,19.427575,-99.17702,OPN,5,13,0.7222222222222222,0.2777777777777778
253,11510,19.425835,-99.177924,OPN,7,14,0.6666666666666666,0.33333333333333337
433,3104,19.363558,-99.170819,OPN,1,19,0.95,0.050000000000000044
434,3104,19.363741,-99.171268,OPN,10,13,0.5652173913043478,0.4347826086956522
423,3240,19.367631,-99.175342,OPN,4,19,0.8260869565217391,0.17391304347826086
436,3240,19.366217,-99.177819,OPN,0,27,1.0,0.0
437,3240,19.36480833,-99.17602222,OPN,2,18,0.9,0.09999999999999998
438,3240,19.36479722,-99.17458333,OPN,3,18,0.8571428571428571,0.1428571428571429
439,3240,19.36218889,-99.17246667,OPN,1,17,0.9444444444444444,0.05555555555555558
420,3230,19.369723,-99.17964,OPN,3,24,0.8888888888888888,0.11111111111111116
421,3230,19.369467,-99.179401,OPN,8,22,0.7333333333333333,0.2666666666666667
422,3230,19.368356,-99.177487,OPN,0,20,1.0,0.0
416,3104,19.371308,-99.177607,OPN,4,25,0.8620689655172413,0.13793103448275867
479,11310,19.444433,-99.179664,OPN,0,24,1.0,0.0
480,11310,19.446073,-99.181654,OPN,2,18,0.9,0.09999999999999998
464,11529,19.442421,-99.199838,OPN,3,20,0.8695652173913043,0.13043478260869568
333,3810,19.387624,-99.180978,OPN,0,19,1.0,0.0
349,3840,19.385688,-99.180857,OPN,1,20,0.9523809523809523,0.04761904761904767
326,3840,19.388978,-99.174811,OPN,4,25,0.8620689655172413,0.13793103448275867
466,11310,19.44269,-99.19083,OPN,7,17,0.7083333333333334,0.29166666666666663
474,11320,19.438984,-99.177549,OPN,13,19,0.59375,0.40625
475,11320,19.439249,-99.181065,OPN,10,13,0.5652173913043478,0.4347826086956522
477,11320,19.440905,-99.181743,OPN,9,13,0.5909090909090909,0.40909090909090906
478,11320,19.440818,-99.176961,OPN,2,24,0.9230769230769231,0.07692307692307687
468,11320,19.4366022,-99.1796833,OPN,2,31,0.9393939393939394,0.06060606060606055
264,06350,19.440985,-99.152935,OPN,7,28,0.8,0.19999999999999996
265,06350,19.440839,-99.152265,OPN,8,27,0.7714285714285715,0.22857142857142854
266,06350,19.444031,-99.152187,OPN,23,13,0.3611111111111111,0.6388888888888888
267,06350,19.443735,-99.152203,OPN,15,18,0.5454545454545454,0.4545454545454546
268,06350,19.442467,-99.151658,OPN,30,2,0.0625,0.9375
269,06350,19.442448,-99.151586,OPN,0,4,1.0,0.0
271,06350,19.443928,-99.152525,OPN,2,34,0.9444444444444444,0.05555555555555558
272,06350,19.443556,-99.152556,OPN,21,13,0.38235294117647056,0.6176470588235294
273,06350,19.442707,-99.152956,OPN,10,23,0.696969696969697,0.303030303030303
274,06350,19.442772,-99.153289,OPN,14,19,0.5757575757575758,0.4242424242424242
275,06350,19.441062,-99.153164,OPN,10,25,0.7142857142857143,0.2857142857142857
176,06350,19.442689,-99.152286,OPN,19,6,0.24,0.76
347,3710,19.384378,-99.176097,OPN,10,17,0.6296296296296297,0.37037037037037035
353,3710,19.382168,-99.178808,OPN,12,15,0.5555555555555556,0.4444444444444444
362,3710,19.382207,-99.181043,OPN,4,17,0.8095238095238095,0.19047619047619047
363,3710,19.380813,-99.183851,OPN,3,18,0.8571428571428571,0.1428571428571429
260,06000,19.435354,-99.147742,OPN,17,3,0.15,0.85
262,06000,19.43693,-99.13395,OPN,7,24,0.7741935483870968,0.22580645161290325
87,06000,19.43182,-99.13974,OPN,19,5,0.20833333333333334,0.7916666666666666
89,,19.434946,-99.133989,OPN,6,5,0.45454545454545453,0.5454545454545454
90,06000,19.431698,-99.132446,OPN,13,14,0.5185185185185185,0.4814814814814815
91,06500,19.4374,-99.137571,OPN,21,0,0.0,1.0
92,06500,19.436531,-99.131497,OPN,0,21,1.0,0.0
93,06500,19.436741,-99.134811,OPN,9,26,0.7428571428571429,0.2571428571428571
94,06000,19.433766,-99.130918,OPN,2,22,0.9166666666666666,0.08333333333333337
95,06500,19.430722,-99.133698,OPN,9,9,0.5,0.5
96,06500,19.430625,-99.14248,OPN,17,13,0.43333333333333335,0.5666666666666667
97,06500,19.429189,-99.132759,OPN,2,24,0.9230769230769231,0.07692307692307687
98,06500,19.430267,-99.14861,OPN,8,25,0.7575757575757576,0.24242424242424243
99,06000,19.42995,-99.14591,OPN,11,19,0.6333333333333333,0.3666666666666667
100,06500,19.428485,-99.1338,OPN,12,12,0.5,0.5
