id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,15,0,0.0,1.0
124,06500,19.422392,-99.150358,OPN,9,23,0.71875,0.28125
159,06760,19.407517,-99.155373,OPN,10,26,0.7222222222222222,0.2777777777777778
241,11520,19.43862,-99.20758,OPN,6,18,0.75,0.25
243,11510,19.440839,-99.196712,OPN,5,22,0.8148148148148148,0.18518518518518523
350,3710,19.384062,-99.181482,OPN,5,24,0.8275862068965517,0.1724137931034483
445,3340,19.35827,-99.156105,OPN,0,23,1.0,0.0
463,11529,19.442338,-99.202492,OPN,0,26,1.0,0.0
469,11300,19.434183,-99.173089,OPN,3,20,0.8695652173913043,0.13043478260869568
470,11300,19.435039,-99.173879,OPN,2,22,0.9166666666666666,0.08333333333333337
471,11300,19.436287,-99.174888,OPN,12,12,0.5,0.5
472,11300,19.437667,-99.17711,OPN,6,18,0.75,0.25
473,11300,19.438143,-99.17519,OPN,2,32,0.9411764705882353,0.05882352941176472
452,11590,19.435031,-99.179838,OPN,2,16,0.8888888888888888,0.11111111111111116
246,11510,19.434147,-99.179835,OPN,5,10,0.6666666666666666,0.33333333333333337
247,11510,19.432276,-99.18064,OPN,4,20,0.8333333333333334,0.16666666666666663
248,11510,19.43175,-99.177399,OPN,7,17,0.7083333333333334,0.29166666666666663
249,11510,19.429877,-99.177569,OPN,7,11,0.6111111111111112,0.38888888888888884
250,11510,19.429057,-99.17966,OPN,6,21,0.7777777777777778,0.2222222222222222
251,11510,19.429261,-99.17538,OPN,4,14,0.7777777777777778,0.2222222222222222
252,11510,19.427575,-99.17702,OPN,3,15,0.8333333333333334,0.16666666666666663
253,11510,19.425835,-99.177924,OPN,8,13,0.6190476190476191,0.38095238095238093
433,3104,19.363558,-99.170819,OPN,9,12,0.5714285714285714,0.4285714285714286
434,3104,19.363741,-99.171268,OPN,11,7,0.3888888888888889,0.6111111111111112
423,3240,19.367631,-99.175342,OPN,1,22,0.9565217391304348,0.04347826086956519
436,3240,19.366217,-99.177819,OPN,2,21,0.9130434782608695,0.08695652173913049
437,3240,19.36480833,-99.17602222,OPN,6,14,0.7,0.30000000000000004
438,3240,19.36479722,-99.17458333,OPN,4,19,0.8260869565217391,0.17391304347826086
439,3240,19.36218889,-99.17246667,OPN,15,3,0.16666666666666666,0.8333333333333334
420,3230,19.369723,-99.17964,OPN,1,26,0.9629629629629629,0.03703703703703709
421,3230,19.369467,-99.179401,OPN,1,29,0.9666666666666667,0.033333333333333326
422,3230,19.368356,-99.177487,OPN,4,17,0.8095238095238095,0.19047619047619047
416,3104,19.371308,-99.177607,OPN,4,25,0.8620689655172413,0.13793103448275867
479,11310,19.444433,-99.179664,OPN,1,23,0.9583333333333334,0.04166666666666663
480,11310,19.446073,-99.181654,OPN,3,16,0.8421052631578947,0.1578947368421053
464,11529,19.442421,-99.199838,OPN,1,21,0.9545454545454546,0.045454545454545414
333,3810,19.387624,-99.180978,OPN,5,15,0.75,0.25
349,3840,19.385688,-99.180857,OPN,5,16,0.7619047619047619,0.23809523809523814
326,3840,19.388978,-99.174811,OPN,3,21,0.875,0.125
466,11310,19.44269,-99.19083,OPN,12,13,0.52,0.48
474,11320,19.438984,-99.177549,OPN,15,18,0.5454545454545454,0.4545454545454546
475,11320,19.439249,-99.181065,OPN,6,15,0.7142857142857143,0.2857142857142857
477,11320,19.440905,-99.181743,OPN,1,23,0.9583333333333334,0.04166666666666663
478,11320,19.440818,-99.176961,OPN,9,17,0.6538461538461539,0.34615384615384615
468,11320,19.4366022,-99.1796833,OPN,1,32,0.9696969696969697,0.030303030303030276
264,06350,19.440985,-99.152935,OPN,0,35,1.0,0.0
265,06350,19.440839,-99.152265,OPN,14,22,0.6111111111111112,0.38888888888888884
266,06350,19.444031,-99.152187,OPN,25,10,0.2857142857142857,0.7142857142857143
267,06350,19.443735,-99.152203,OPN,12,22,0.6470588235294118,0.3529411764705882
268,06350,19.442467,-99.151658,OPN,9,16,0.64,0.36
269,06350,19.442448,-99.151586,OPN,4,2,0.3333333333333333,0.6666666666666667
271,06350,19.443928,-99.152525,OPN,7,29,0.8055555555555556,0.19444444444444442
272,06350,19.443556,-99.152556,OPN,9,26,0.7428571428571429,0.2571428571428571
273,06350,19.442707,-99.152956,OPN,5,2,0.2857142857142857,0.7142857142857143
274,06350,19.442772,-99.153289,OPN,28,8,0.2222222222222222,0.7777777777777778
275,06350,19.441062,-99.153164,OPN,3,31,0.9117647058823529,0.08823529411764708
176,06350,19.442689,-99.152286,OPN,21,0,0.0,1.0
347,3710,19.384378,-99.176097,OPN,11,15,0.5769230769230769,0.42307692307692313
353,3710,19.382168,-99.178808,OPN,1,26,0.9629629629629629,0.03703703703703709
362,3710,19.382207,-99.181043,OPN,0,21,1.0,0.0
363,3710,19.380813,-99.183851,OPN,7,13,0.65,0.35
260,06000,19.435354,-99.147742,OPN,10,10,0.5,0.5
262,06000,19.43693,-99.13395,OPN,12,18,0.6,0.4
87,06000,19.43182,-99.13974,OPN,12,11,0.4782608695652174,0.5217391304347826
89,,19.434946,-99.133989,OPN,11,0,0.0,1.0
90,06000,19.431698,-99.132446,OPN,4,21,0.84,0.16000000000000003
91,06500,19.4374,-99.137571,OPN,17,4,0.19047619047619047,0.8095238095238095
92,06500,19.436531,-99.131497,OPN,0,20,1.0,0.0
93,06500,19.436741,-99.134811,OPN,16,17,0.5151515151515151,0.48484848484848486
94,06000,19.433766,-99.130918,OPN,11,13,0.5416666666666666,0.45833333333333337
95,06500,19.430722,-99.133698,OPN,18,0,0.0,1.0
96,06500,19.430625,-99.14248,OPN,22,10,0.3125,0.6875
97,06500,19.429189,-99.132759,OPN,17,9,0.34615384615384615,0.6538461538461539
98,06500,19.430267,-99.14861,OPN,17,10,0.37037037037037035,0.6296296296296297
99,06000,19.42995,-99.14591,OPN,8,22,0.7333333333333333,0.2666666666666667
100,06500,19.428485,-99.1338,OPN,12,12,0.5,0.5
102,06000,19.42821,-99.13949,OPN,4,11,0.7333333333333333,0.2666666666666667
104,06500,19.427059,-99.137116,OPN,13,1,0.07142857142857142,0.9285714285714286
105,06500,19.426755,-99.135014,OPN,14,10,0.4166666666666667,0.5833333333333333
106,06500,19.42649,-99.133537,OPN,17,9,0.34615384615384615,0.6538461538461539
107,06500,19.427329,-99.149971,OPN,13,23,0.6388888888888888,0.36111111111111116
108,06500,19.427305,-99.149533,OPN,5,18,0.782608695652174,0.21739130434782605
109,06500,19.425311,-99.137421,OPN,9,1,0.1,0.9
52,06140,19.436236,-99.142039,OPN,19,0,0.0,1.0
43,06700,19.435228,-99.146063,OPN,30,1,0.03225806451612903,0.967741935483871
48,06700,19.433686,-99.146557,OPN,5,7,0.5833333333333334,0.41666666666666663
65,06170,19.436142,-99.139906,OPN,18,0,0.0,1.0
82,06100,19.433115,-99.143686,OPN,0,10,1.0,0.0
29,06500,19.434913,-99.149939,OPN,15,20,0.5714285714285714,0.4285714285714286
192,11510,19.42592,-99.190755,OPN,5,30,0.8571428571428571,0.1428571428571429
194,11510,19.424282,-99.180334,OPN,19,5,0.20833333333333334,0.7916666666666666
195,11100,19.424926,-99.185147,OPN,21,2,0.08695652173913043,0.9130434782608696
62,06140,19.413322,-99.175202,OPN,0,17,1.0,0.0
63,06100,19.413681,-99.171531,OPN,26,10,0.2777777777777778,0.7222222222222222
67,06170,19.411797,-99.17588,OPN,5,18,0.782608695652174,0.21739130434782605
68,06170,19.411556,-99.17406,OPN,6,24,0.8,0.19999999999999996
49,06140,19.416712,-99.175704,OPN,2,34,0.9444444444444444,0.05555555555555558
50,06140,19.416938,-99.173648,OPN,2,23,0.92,0.07999999999999996
53,06140,19.414773,-99.178433,OPN,10,5,0.3333333333333333,0.6666666666666667
54,06700,19.416215,-99.170825,OPN,27,8,0.22857142857142856,0.7714285714285715
57,06140,19.414903,-99.17495,OPN,7,5,0.4166666666666667,0.5833333333333333
58,06140,19.41568,-99.171793,OPN,17,10,0.37037037037037035,0.6296296296296297
60,06140,19.414191,-99.177123,OPN,10,26,0.7222222222222222,0.2777777777777778
447,06140,19.418858,-99.176776,OPN,5,22,0.8148148148148148,0.18518518518518523
4,06500,19.428309,-99.171713,OPN,1,14,0.9333333333333333,0.06666666666666665
5,06500,19.42972,-99.169363,OPN,1,11,0.9166666666666666,0.08333333333333337
6,06500,19.430922,-99.166959,OPN,3,12,0.8,0.19999999999999996
7,06500,19.425468,-99.175166,OPN,13,11,0.4583333333333333,0.5416666666666667
1,06500,19.4335714,-99.1678091,OPN,1,23,0.9583333333333334,0.04166666666666663
2,06500,19.431386,-99.171695,OPN,0,12,1.0,0.0
9,06500,19.428009,-99.169918,OPN,4,19,0.8260869565217391,0.17391304347826086
11,06500,19.430992,-99.163593,OPN,1,14,0.9333333333333333,0.06666666666666665
12,06500,19.432313,-99.161597,OPN,2,13,0.8666666666666667,0.1333333333333333
13,06500,19.42502,-99.17231,OPN,11,25,0.6944444444444444,0.3055555555555556
14,06500,19.424768,-99.173261,OPN,13,22,0.6285714285714286,0.37142857142857144
15,06500,19.425477,-99.171567,OPN,4,20,0.8333333333333334,0.16666666666666663
16,06500,19.427226,-99.168242,OPN,1,33,0.9705882352941176,0.02941176470588236
17,06500,19.427501,-99.167125,OPN,1,26,0.9629629629629629,0.03703703703703709
18,06500,19.42888,-99.164176,OPN,4,28,0.875,0.125
19,06500,19.429241,-99.163377,OPN,10,13,0.5652173913043478,0.4347826086956522
20,06500,19.430964,-99.160206,OPN,2,22,0.9166666666666666,0.08333333333333337
257,06500,19.4338,-99.16622,OPN,3,17,0.85,0.15000000000000002
465,11490,19.445039,-99.194078,OPN,4,22,0.8461538461538461,0.15384615384615385
