id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,12,2,0.14285714285714285,0.8571428571428572
124,06500,19.422392,-99.150358,OPN,20,15,0.42857142857142855,0.5714285714285714
159,06760,19.407517,-99.155373,OPN,8,28,0.7777777777777778,0.2222222222222222
241,11520,19.43862,-99.20758,OPN,3,21,0.875,0.125
243,11510,19.440839,-99.196712,OPN,4,23,0.8518518518518519,0.14814814814814814
350,3710,19.384062,-99.181482,OPN,9,21,0.7,0.30000000000000004
445,3340,19.35827,-99.156105,OPN,8,15,0.6521739130434783,0.34782608695652173
463,11529,19.442338,-99.202492,OPN,5,21,0.8076923076923077,0.1923076923076923
469,11300,19.434183,-99.173089,OPN,3,19,0.8636363636363636,0.13636363636363635
470,11300,19.435039,-99.173879,OPN,8,16,0.6666666666666666,0.33333333333333337
471,11300,19.436287,-99.174888,OPN,4,20,0.8333333333333334,0.16666666666666663
472,11300,19.437667,-99.17711,OPN,4,20,0.8333333333333334,0.16666666666666663
473,11300,19.438143,-99.17519,OPN,4,31,0.8857142857142857,0.11428571428571432
452,11590,19.435031,-99.179838,OPN,3,15,0.8333333333333334,0.16666666666666663
246,11510,19.434147,-99.179835,OPN,3,12,0.8,0.19999999999999996
247,11510,19.432276,-99.18064,OPN,2,19,0.9047619047619048,0.09523809523809523
248,11510,19.43175,-99.177399,OPN,4,20,0.8333333333333334,0.16666666666666663
249,11510,19.429877,-99.177569,OPN,3,15,0.8333333333333334,0.16666666666666663
250,11510,19.429057,-99.17966,OPN,6,21,0.7777777777777778,0.2222222222222222
251,11510,19.429261,-99.17538,OPN,6,11,0.6470588235294118,0.3529411764705882
252,11510,19.427575,-99.17702,OPN,4,14,0.7777777777777778,0.2222222222222222
253,11510,19.425835,-99.177924,OPN,1,20,0.9523809523809523,0.04761904761904767
433,3104,19.363558,-99.170819,OPN,2,19,0.9047619047619048,0.09523809523809523
434,3104,19.363741,-99.171268,OPN,5,18,0.782608695652174,0.21739130434782605
423,3240,19.367631,-99.175342,OPN,0,23,1.0,0.0
436,3240,19.366217,-99.177819,OPN,3,20,0.8695652173913043,0.13043478260869568
437,3240,19.36480833,-99.17602222,OPN,2,18,0.9,0.09999999999999998
438,3240,19.36479722,-99.17458333,OPN,3,18,0.8571428571428571,0.1428571428571429
439,3240,19.36218889,-99.17246667,OPN,2,16,0.8888888888888888,0.11111111111111116
420,3230,19.369723,-99.17964,OPN,4,23,0.8518518518518519,0.14814814814814814
421,3230,19.369467,-99.179401,OPN,3,27,0.9,0.09999999999999998
422,3230,19.368356,-99.177487,OPN,3,18,0.8571428571428571,0.1428571428571429
416,3104,19.371308,-99.177607,OPN,1,27,0.9642857142857143,0.0357142857142857
479,11310,19.444433,-99.179664,OPN,3,21,0.875,0.125
480,11310,19.446073,-99.181654,OPN,16,4,0.2,0.8
464,11529,19.442421,-99.199838,OPN,5,18,0.782608695652174,0.21739130434782605
333,3810,19.387624,-99.180978,OPN,6,10,0.625,0.375
349,3840,19.385688,-99.180857,OPN,3,18,0.8571428571428571,0.1428571428571429
326,3840,19.388978,-99.174811,OPN,6,22,0.7857142857142857,0.2142857142857143
466,11310,19.44269,-99.19083,OPN,11,15,0.5769230769230769,0.42307692307692313
474,11320,19.438984,-99.177549,OPN,11,22,0.6666666666666666,0.33333333333333337
475,11320,19.439249,-99.181065,OPN,3,21,0.875,0.125
477,11320,19.440905,-99.181743,OPN,20,4,0.16666666666666666,0.8333333333333334
478,11320,19.440818,-99.176961,OPN,15,12,0.4444444444444444,0.5555555555555556
468,11320,19.4366022,-99.1796833,OPN,3,30,0.9090909090909091,0.09090909090909094
264,06350,19.440985,-99.152935,OPN,6,29,0.8285714285714286,0.17142857142857137
265,06350,19.440839,-99.152265,OPN,15,21,0.5833333333333334,0.41666666666666663
266,06350,19.444031,-99.152187,OPN,29,7,0.19444444444444445,0.8055555555555556
267,06350,19.443735,-99.152203,OPN,26,10,0.2777777777777778,0.7222222222222222
268,06350,19.442467,-99.151658,OPN,20,12,0.375,0.625
269,06350,19.442448,-99.151586,OPN,3,1,0.25,0.75
271,06350,19.443928,-99.152525,OPN,25,10,0.2857142857142857,0.7142857142857143
272,06350,19.443556,-99.152556,OPN,26,9,0.2571428571428571,0.7428571428571429
273,06350,19.442707,-99.152956,OPN,12,21,0.6363636363636364,0.36363636363636365
274,06350,19.442772,-99.153289,OPN,25,9,0.2647058823529412,0.7352941176470589
275,06350,19.441062,-99.153164,OPN,9,26,0.7428571428571429,0.2571428571428571
176,06350,19.442689,-99.152286,OPN,31,4,0.11428571428571428,0.8857142857142857
347,3710,19.384378,-99.176097,OPN,3,24,0.8888888888888888,0.11111111111111116
353,3710,19.382168,-99.178808,OPN,5,22,0.8148148148148148,0.18518518518518523
362,3710,19.382207,-99.181043,OPN,9,12,0.5714285714285714,0.4285714285714286
363,3710,19.380813,-99.183851,OPN,4,17,0.8095238095238095,0.19047619047619047
260,06000,19.435354,-99.147742,OPN,11,12,0.5217391304347826,0.4782608695652174
262,06000,19.43693,-99.13395,OPN,12,20,0.625,0.375
87,06000,19.43182,-99.13974,OPN,7,17,0.7083333333333334,0.29166666666666663
89,,19.434946,-99.133989,OPN,6,6,0.5,0.5
90,06000,19.431698,-99.132446,OPN,4,22,0.8461538461538461,0.15384615384615385
91,06500,19.4374,-99.137571,OPN,11,10,0.47619047619047616,0.5238095238095238
92,06500,19.436531,-99.131497,OPN,10,11,0.5238095238095238,0.47619047619047616
93,06500,19.436741,-99.134811,OPN,8,24,0.75,0.25
94,06000,19.433766,-99.130918,OPN,2,22,0.9166666666666666,0.08333333333333337
95,06500,19.430722,-99.133698,OPN,2,16,0.8888888888888888,0.11111111111111116
96,06500,19.430625,-99.14248,OPN,16,16,0.5,0.5
97,06500,19.429189,-99.132759,OPN,11,16,0.5925925925925926,0.40740740740740744
98,06500,19.430267,-99.14861,OPN,11,22,0.6666666666666666,0.33333333333333337
99,06000,19.42995,-99.14591,OPN,12,18,0.6,0.4
100,06500,19.428485,-99.1338,OPN,2,22,0.9166666666666666,0.08333333333333337
102,06000,19.42821,-99.13949,OPN,8,7,0.4666666666666667,0.5333333333333333
104,06500,19.427059,-99.137116,OPN,12,1,0.07692307692307693,0.9230769230769231
105,06500,19.426755,-99.135014,OPN,22,2,0.08333333333333333,0.9166666666666666
106,06500,19.42649,-99.133537,OPN,14,10,0.4166666666666667,0.5833333333333333
107,06500,19.427329,-99.149971,OPN,15,19,0.5588235294117647,0.4411764705882353
108,06500,19.427305,-99.149533,OPN,2,22,0.9166666666666666,0.08333333333333337
109,06500,19.425311,-99.137421,OPN,9,2,0.18181818181818182,0.8181818181818181
52,06140,19.436236,-99.142039,OPN,16,5,0.23809523809523808,0.7619047619047619
43,06700,19.435228,-99.146063,OPN,27,5,0.15625,0.84375
