id,zipCode,location.lat,location.lon,status,availability.bikes,availability.slots,slots_proportion,bikes_proportion
55,06700,19.434356,-99.138064,OPN,7,8,0.5333333333333333,0.4666666666666667
124,06500,19.422392,-99.150358,OPN,22,13,0.37142857142857144,0.6285714285714286
159,06760,19.407517,-99.155373,OPN,15,21,0.5833333333333334,0.41666666666666663
241,11520,19.43862,-99.20758,OPN,0,24,1.0,0.0
243,11510,19.440839,-99.196712,OPN,0,27,1.0,0.0
350,3710,19.384062,-99.181482,OPN,9,21,0.7,0.30000000000000004
445,3340,19.35827,-99.156105,OPN,10,14,0.5833333333333334,0.41666666666666663
463,11529,19.442338,-99.202492,OPN,6,20,0.7692307692307693,0.23076923076923073
469,11300,19.434183,-99.173089,OPN,0,23,1.0,0.0
470,11300,19.435039,-99.173879,OPN,9,15,0.625,0.375
471,11300,19.436287,-99.174888,OPN,2,22,0.9166666666666666,0.08333333333333337
472,11300,19.437667,-99.17711,OPN,1,23,0.9583333333333334,0.04166666666666663
473,11300,19.438143,-99.17519,OPN,0,34,1.0,0.0
452,11590,19.435031,-99.179838,OPN,0,18,1.0,0.0
246,11510,19.434147,-99.179835,OPN,1,13,0.9285714285714286,0.0714285714285714
247,11510,19.432276,-99.18064,OPN,1,23,0.9583333333333334,0.04166666666666663
248,11510,19.43175,-99.177399,OPN,2,22,0.9166666666666666,0.08333333333333337
249,11510,19.429877,-99.177569,OPN,0,18,1.0,0.0
250,11510,19.429057,-99.17966,OPN,9,17,0.6538461538461539,0.34615384615384615
251,11510,19.429261,-99.17538,OPN,5,13,0.7222222222222222,0.2777777777777778
252,11510,19.427575,-99.17702,OPN,4,14,0.7777777777777778,0.2222222222222222
253,11510,19.425835,-99.177924,OPN,4,17,0.8095238095238095,0.19047619047619047
433,3104,19.363558,-99.170819,OPN,11,10,0.47619047619047616,0.5238095238095238
434,3104,19.363741,-99.171268,OPN,13,6,0.3157894736842105,0.6842105263157895
423,3240,19.367631,-99.175342,OPN,2,21,0.9130434782608695,0.08695652173913049
436,3240,19.366217,-99.177819,OPN,0,27,1.0,0.0
437,3240,19.36480833,-99.17602222,OPN,0,21,1.0,0.0
438,3240,19.36479722,-99.17458333,OPN,3,20,0.8695652173913043,0.13043478260869568
439,3240,19.36218889,-99.17246667,OPN,7,11,0.6111111111111112,0.38888888888888884
420,3230,19.369723,-99.17964,OPN,1,26,0.9629629629629629,0.03703703703703709
421,3230,19.369467,-99.179401,OPN,2,28,0.9333333333333333,0.06666666666666665
422,3230,19.368356,-99.177487,OPN,0,21,1.0,0.0
416,3104,19.371308,-99.177607,OPN,6,22,0.7857142857142857,0.2142857142857143
479,11310,19.444433,-99.179664,OPN,14,10,0.4166666666666667,0.5833333333333333
480,11310,19.446073,-99.181654,OPN,20,0,0.0,1.0
464,11529,19.442421,-99.199838,OPN,0,16,1.0,0.0
333,3810,19.387624,-99.180978,OPN,2,18,0.9,0.09999999999999998
349,3840,19.385688,-99.180857,OPN,5,16,0.7619047619047619,0.23809523809523814
326,3840,19.388978,-99.174811,OPN,1,28,0.9655172413793104,0.03448275862068961
466,11310,19.44269,-99.19083,OPN,26,0,0.0,1.0
474,11320,19.438984,-99.177549,OPN,2,30,0.9375,0.0625
475,11320,19.439249,-99.181065,OPN,1,23,0.9583333333333334,0.04166666666666663
477,11320,19.440905,-99.181743,OPN,11,12,0.5217391304347826,0.4782608695652174
478,11320,19.440818,-99.176961,OPN,6,21,0.7777777777777778,0.2222222222222222
468,11320,19.4366022,-99.1796833,OPN,0,33,1.0,0.0
264,06350,19.440985,-99.152935,OPN,22,13,0.37142857142857144,0.6285714285714286
265,06350,19.440839,-99.152265,OPN,20,15,0.42857142857142855,0.5714285714285714
266,06350,19.444031,-99.152187,OPN,35,0,0.0,1.0
267,06350,19.443735,-99.152203,OPN,36,0,0.0,1.0
268,06350,19.442467,-99.151658,OPN,32,1,0.030303030303030304,0.9696969696969697
269,06350,19.442448,-99.151586,OPN,20,16,0.4444444444444444,0.5555555555555556
271,06350,19.443928,-99.152525,OPN,36,0,0.0,1.0
272,06350,19.443556,-99.152556,OPN,36,0,0.0,1.0
273,06350,19.442707,-99.152956,OPN,12,3,0.2,0.8
274,06350,19.442772,-99.153289,OPN,36,0,0.0,1.0
